Date,Industrial aggregate excluding unclassified businesses  [11-91N]7 8,Goods producing industries  [11-33N]9,"Forestry, logging and support  [11N]10","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22,221]",Construction  [23],Manufacturing  [31-33],Service producing industries  [41-91N]11,Trade  [41-45N]12,Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54,541]","Management of companies and enterprises  [55,551,5511]","Administrative and support, waste management and remediation services  [56]","Educational services  [61,611]",Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
Jan-15,944.91,"1,197.87","1,101.99","2,051.60","1,830.77","1,169.48","1,036.46",889.93,719.98,"1,035.82","1,152.51","1,210.40",936.02,"1,349.73","1,364.72",764.68,985.6,872.62,613.49,365.86,770.95,"1,220.53"
Feb-15,956.66,"1,234.86","1,155.20","2,136.70","1,887.37","1,200.29","1,069.84",895.69,722.35,"1,017.12","1,205.25","1,259.96",973.33,"1,357.21","1,394.89",768.55,980.82,873.19,568.47,361.95,759,"1,231.17"
Mar-15,956.76,"1,241.78","1,179.15","2,088.70","1,841.16","1,211.38","1,087.70",894.6,733.78,"1,012.41","1,243.87","1,275.10",934.67,"1,357.33","1,352.11",764.9,966.32,865.09,576.53,361.32,740.45,"1,231.63"
Apr-15,954.16,"1,246.36","1,067.42","2,016.85","1,824.61","1,206.20","1,120.32",890.15,724.02,"1,035.44","1,198.15","1,246.37",918.94,"1,351.96","1,458.86",762.91,951.24,859.79,578.79,363.06,781.4,"1,239.13"
May-15,944.77,"1,206.08","1,029.43","1,978.41","1,804.94","1,206.00","1,057.32",885.72,716.42,"1,021.90","1,210.77","1,191.46",897.42,"1,334.99","1,470.31",750.49,"1,006.34",873.78,547.82,379.38,768.06,"1,211.79"
Jun-15,956.2,"1,220.44","1,058.16","1,952.11","1,842.31","1,226.15","1,074.88",895.9,731.98,"1,007.68","1,194.04","1,217.00",948.74,"1,319.60","1,437.19",784.15,"1,077.14",863.53,555.84,373.53,772.99,"1,215.45"
Jul-15,953.27,"1,211.00","1,021.35","1,917.60","1,761.94","1,203.00","1,083.39",893.2,745.86,"1,039.77","1,234.00","1,184.49",913.16,"1,322.57","1,469.99",779.46,"1,027.21",869.25,553.28,395.41,770.92,"1,219.17"
Aug-15,940.5,"1,190.00","1,036.94","1,888.76","1,735.60","1,206.24","1,045.36",881.58,728.32,"1,020.32","1,216.91","1,174.45",918.94,"1,289.23","1,420.61",758.18,"1,077.39",868.05,546.61,375.95,749.09,"1,213.51"
Sep-15,948.68,"1,222.49","1,090.12","1,943.46","1,723.75","1,238.14","1,077.18",885.69,723.51,"1,000.36","1,204.39","1,158.47",910.54,"1,323.27","1,375.87",787.42,"1,048.37",875.07,547.01,377.59,767.7,"1,216.76"
Oct-15,953.36,"1,241.69","1,154.39","1,913.89","1,784.00","1,241.67","1,109.62",888.01,713.13,"1,044.82","1,190.49","1,200.99",951.25,"1,305.45","1,358.45",777.9,"1,008.06",864.19,579.53,383.46,797.14,"1,240.16"
